ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
Spanish-1-343-1,,Spanish,1-343,promontorio; punta,promontorio,p ɾ o m o n t o ɾ j o,,,,false,^promontorio$,Spanish,,
Spanish-1-343-2,,Spanish,1-343,promontorio; punta,punta,p u n t a,,,,false,^punta$,Spanish,,
Spanish-1-350-1,,Spanish,1-350,ola,ola,o l a,,,,false,^ola$,Spanish,,
Spanish-1-352-1,,Spanish,1-352,marea,marea,m a ɾ e a,,,,false,^marea$,Spanish,,
Spanish-1-353-1,,Spanish,1-353,bajamar,bajamar,b a x a m a ɾ,,,,false,^bajamar$,Spanish,,
Spanish-1-354-1,,Spanish,1-354,pleamar,pleamar,p l e a m a ɾ,,,,false,^pleamar$,Spanish,,
Spanish-1-360-1,,Spanish,1-360,río; corriente; arroyo,río,r i o,,,,false,^río$,Spanish,,
Spanish-1-360-2,,Spanish,1-360,río; corriente; arroyo,corriente,k o r j e n t e,,,,false,^corriente$,Spanish,,
Spanish-1-360-3,,Spanish,1-360,río; corriente; arroyo,arroyo,a r o ʝ o,,,,false,^arroyo$,Spanish,,
Spanish-1-362-1,,Spanish,1-362,remolino,remolino,r e m o l i n o,,,,false,^remolino$,Spanish,,
Spanish-1-370-1,,Spanish,1-370,manantial; pozo,manantial,m a n a n t j a l,,,,false,^manantial$,Spanish,,
Spanish-1-370-2,,Spanish,1-370,manantial; pozo,pozo,p o θ o,,,,false,^pozo$,Spanish,,
Spanish-1-380-1,,Spanish,1-380,pantano,pantano,p a n t a n o,,,,false,^pantano$,Spanish,,
Spanish-1-390-1,,Spanish,1-390,cascada; salto,cascada,k a s k a ð a,,,,false,^cascada$,Spanish,,
Spanish-1-390-2,,Spanish,1-390,cascada; salto,salto,s a l t o,,,,false,^salto$,Spanish,,
Spanish-1-410-1,,Spanish,1-410,bosque; selva,bosque,b o s k e,,,,false,^bosque$,Spanish,,
Spanish-1-410-2,,Spanish,1-410,bosque; selva,selva,s ɛ l β a,,,,false,^selva$,Spanish,,
Spanish-1-420-1,,Spanish,1-420,árbol,árbol,a ɾ β o l,,,,false,^árbol$,Spanish,,
Spanish-1-430-1,,Spanish,1-430,madera,madera,m a ð ɛ ɾ a,,,,false,^madera$,Spanish,,
Spanish-1-440-1,,Spanish,1-440,piedra; roca,piedra,p j e ð ɾ a,,,,false,^piedra$,Spanish,,
Spanish-1-440-2,,Spanish,1-440,piedra; roca,roca,r o k a,,,,false,^roca$,Spanish,,
Spanish-1-450-1,,Spanish,1-450,terremoto; temblor,terremoto,t ɛ r e m o t o,,,,false,^terremoto$,Spanish,,
Spanish-1-450-2,,Spanish,1-450,terremoto; temblor,temblor,t e m b l o ɾ,,,,false,^temblor$,Spanish,,
Spanish-1-510-1,,Spanish,1-510,cielo,cielo,θ j e l o,,,,false,^cielo$,Spanish,,
Spanish-1-520-1,,Spanish,1-520,sol,sol,s o l,,,,false,^sol$,Spanish,,
Spanish-1-530-1,,Spanish,1-530,luna,luna,l u n a,,,,false,^luna$,Spanish,,
Spanish-1-540-1,,Spanish,1-540,estrella,estrella,ɛ s t ɾ e ʎ a,,,,false,^estrella$,Spanish,,
Spanish-1-550-1,,Spanish,1-550,relámpago,relámpago,r e l a m p a ɣ o,,,,false,^relámpago$,Spanish,,
Spanish-1-560-1,,Spanish,1-560,trueno,trueno,t ɾ w e n o,,,,false,^trueno$,Spanish,,
Spanish-1-570-1,,Spanish,1-570,rayo,rayo,r a ʝ o,,,,false,^rayo$,Spanish,,
Spanish-1-580-1,,Spanish,1-580,tempestad; tormenta,tempestad,t e m p ɛ s t a ð,,,,false,^tempestad$,Spanish,,
Spanish-1-580-2,,Spanish,1-580,tempestad; tormenta,tormenta,t o ɾ m e n t a,,,,false,^tormenta$,Spanish,,
Spanish-1-590-1,,Spanish,1-590,arco iris,arco_iris,a ɾ k o + i ɾ i s,,,,false,^arco_iris$,Spanish,,
Spanish-1-610-1,,Spanish,1-610,luz,luz,l u θ,,,,false,^luz$,Spanish,,
